administratorId,uuid,uri
vwr00460,05422848-08a2-44d8-8891-5ec9a1d9c338,https://ngk.wisski.cloud/contents/67b260fa110b9
vwr00731,e70501c4-5a15-46bd-8d9e-be7c9b362724,https://ngk.wisski.cloud/contents/67b260fa9ed54
vwr00556,9829f467-11d7-4bb4-9803-225ec9a908cd,https://ngk.wisski.cloud/contents/67b260fb20890
vwr00579,4b585ae1-9607-4650-abdf-b7d390d4655e,https://ngk.wisski.cloud/contents/67b260fb95a37
vwr00570,234e7c50-6a7e-498b-a1ef-ba823f8d5a91,https://ngk.wisski.cloud/contents/67b260fc2f92a
vwr00485,e17fe11d-6034-40fb-b394-fe6aaba32139,https://ngk.wisski.cloud/contents/67b260fcb310b
vwr00615,8bdc4f2f-53ad-4b53-be41-207daf113f00,https://ngk.wisski.cloud/contents/67b260fd42758
vwr00677,8d443830-1570-45e5-b3e4-da295bbbbc26,https://ngk.wisski.cloud/contents/67b260fdc2f28
vwr00516,7b939f18-ca52-42cd-80e3-5dc7c819ccaa,https://ngk.wisski.cloud/contents/67b260fe492ba
vwr00259,7a3bc8f4-482b-467c-975d-27324ba99838,https://ngk.wisski.cloud/contents/67b260febe6ca
vwr00542,ff27b334-b757-4054-ab32-40b2f4b2fba8,https://ngk.wisski.cloud/contents/67b260ff377f9
vwr00387,40b6669b-a54f-40c8-8f98-f86d96f2d94e,https://ngk.wisski.cloud/contents/67b260ffa3888
vwr00293,72e9bdf0-2069-47a7-abbe-c0e60466c69a,https://ngk.wisski.cloud/contents/67b2610029c50
vwr00324,aa209b24-ab44-4726-add0-b97ca8b988e8,https://ngk.wisski.cloud/contents/67b2610099b13
vwr00715,63427f8f-025f-48fc-97ca-8a5d1411a55d,https://ngk.wisski.cloud/contents/67b2610120d34
vwr00298,44cdd456-3364-4b04-9628-dfa5e2b8cd71,https://ngk.wisski.cloud/contents/67b261019e21b
vwr00683,b668ac25-205d-4d01-b890-e93dd05b3d09,https://ngk.wisski.cloud/contents/67b2610223280
vwr00477,99b5fbd0-2bf0-4427-a2bf-63426a8cf395,https://ngk.wisski.cloud/contents/67b261029e889
vwr00563,014138dd-0c6f-4d51-b627-3322f577ce81,https://ngk.wisski.cloud/contents/67b2610326aca
vwr00348,bfa7b9f2-fd5e-475e-8427-c0383fe0187e,https://ngk.wisski.cloud/contents/67b26103a6103
vwr00396,b78d8aac-2fcd-4ab4-9448-cf8c225bcf88,https://ngk.wisski.cloud/contents/67b2610432372
vwr00503,b6dbf92f-dc34-44ad-839c-b1c90ca54ed3,https://ngk.wisski.cloud/contents/67b26104bef95
vwr00338,69fdce4f-ffe1-4f60-85d8-14c029a2262d,https://ngk.wisski.cloud/contents/67b261054d0ee
vwr00647,929fac16-be99-40bb-ab21-f47f0198bb7a,https://ngk.wisski.cloud/contents/67b26105b8f34
vwr00279,8453ff5e-0982-4a7e-83ad-ef322117b687,https://ngk.wisski.cloud/contents/67b2610646005
vwr00662,a212a142-55e1-49e3-8499-af3fe88b637f,https://ngk.wisski.cloud/contents/67b26106cdbae
vwr00521,efd0c87e-c6ea-4e81-bc27-e97a2b0de82a,https://ngk.wisski.cloud/contents/67b2610760970
vwr00458,51471604-28ad-4b77-8cdc-7b3cd07a0355,https://ngk.wisski.cloud/contents/67b2610803a85
vwr00718,8b105e30-18cf-438f-aa94-acb4fc1ec7f5,https://ngk.wisski.cloud/contents/67b261089a8f9
vwr00278,2b691f13-3b89-4207-84e8-750339b8285d,https://ngk.wisski.cloud/contents/67b2610939519
vwr00672,e1bafe17-4ba0-4642-b7d5-028d58e59dcb,https://ngk.wisski.cloud/contents/67b26109c02a7
vwr00413,7b557f6e-02a0-432d-aaa2-63ef20625aa4,https://ngk.wisski.cloud/contents/67b2610a37980
vwr00713,4b6e4cd3-c43c-4cc2-a197-5118e07365cf,https://ngk.wisski.cloud/contents/67b2610aa8a67
vwr00587,24eff3d3-440d-4104-8d9a-47a8b542050b,https://ngk.wisski.cloud/contents/67b2610b23c06
vwr00290,6f6c5a16-2d9b-4475-91ab-247d1c2d8499,https://ngk.wisski.cloud/contents/67b2610b8fc51
vwr00528,24d3ddb6-4005-423e-8d15-6a4a31f7e3c3,https://ngk.wisski.cloud/contents/67b2610c0dbbe
vwr00411,df437c14-abe9-4aee-8eee-19959011ec7b,https://ngk.wisski.cloud/contents/67b2610c78de9
vwr00529,19a86f2a-e576-4c5d-b6ad-94ba1c6c1443,https://ngk.wisski.cloud/contents/67b2610ce7eac
vwr00251,901880d0-e9e6-4dba-b320-b1ecad61d2cc,https://ngk.wisski.cloud/contents/67b2610d62c67
vwr00606,38f26805-9c96-439c-aa94-0e7470fef618,https://ngk.wisski.cloud/contents/67b2610ddfa42
vwr00686,b2746c94-4284-4f40-8c84-1a92ab4b6732,https://ngk.wisski.cloud/contents/67b2610e56cdd
vwr00610,63271ebb-03a0-48ac-b6bb-aaf84a8e9a72,https://ngk.wisski.cloud/contents/67b2610ec1095
vwr00409,d6de1911-12f6-47c6-b012-589c21b66cfa,https://ngk.wisski.cloud/contents/67b2610f45aa4
vwr00667,9a2b8244-f5cc-4143-86d8-054d76a29c02,https://ngk.wisski.cloud/contents/67b2610fc6cbf
vwr00428,9c1a9248-ed76-4b34-bb36-eef14d23f2dd,https://ngk.wisski.cloud/contents/67b2611060622
vwr00698,97c8a106-185d-4d48-bcd0-2dd3883a9d3a,https://ngk.wisski.cloud/contents/67b26110f18dc
vwr00499,ddb96545-883a-48bc-9e6b-84fa1bba2cb6,https://ngk.wisski.cloud/contents/67b2611189926
vwr00257,a16668ed-e474-410d-9a31-a929bdf2730d,https://ngk.wisski.cloud/contents/67b2611223e60
vwr00343,ad842f5a-2829-4d38-a6b7-19d1ca4b3fd8,https://ngk.wisski.cloud/contents/67b26112ad3fb
vwr00277,8921c1e1-e164-4b99-ae3e-cbd980732362,https://ngk.wisski.cloud/contents/67b261133c44e
vwr00434,94bed7ff-5315-4173-b154-624887df413b,https://ngk.wisski.cloud/contents/67b26113d2569
vwr00639,c16eefdd-1f33-4e94-8c25-f4f34a599234,https://ngk.wisski.cloud/contents/67b2611474489
vwr00726,7aee552d-d2c9-4d76-a96f-1b23e8778cff,https://ngk.wisski.cloud/contents/67b2611514bca
vwr00597,91298d46-2ed6-44ab-939d-59c4f452f727,https://ngk.wisski.cloud/contents/67b261159679f
vwr00607,47fde518-55b5-4db9-9a9f-f9544d129eb4,https://ngk.wisski.cloud/contents/67b2611637b5c
vwr00406,e04b78bc-cda5-40d0-a576-3a268e78455e,https://ngk.wisski.cloud/contents/67b26116c6969
vwr00491,bfb600e5-522b-4fa8-99a5-4738e1d0172c,https://ngk.wisski.cloud/contents/67b261176eb1e
vwr00392,290c627a-583a-428c-91c1-b81246458140,https://ngk.wisski.cloud/contents/67b261181b78b
