artifactToMarkAssignmentId,uuid,uri
130,['eb683e83-e5bd-4bc0-b901-bbc0ee4ad58d'],https://ngk.wisski.cloud/contents/67b6418d224fd
131,['dacdfc9b-932e-4dbf-89f4-ba8515ac29a5'],https://ngk.wisski.cloud/contents/67b6418d5c49e
132,['dacdfc9b-932e-4dbf-89f4-ba8515ac29a5'],https://ngk.wisski.cloud/contents/67b6418d8e947
133,['195187a2-0f41-4e4e-887e-872972828717'],https://ngk.wisski.cloud/contents/67b6418dcb81d
134,['82d3d6d6-09e9-41be-8ac8-ddc1e66f17d1'],https://ngk.wisski.cloud/contents/67b6418e0b3d5
135,['82d3d6d6-09e9-41be-8ac8-ddc1e66f17d1'],https://ngk.wisski.cloud/contents/67b6418e426ba
136,['f229c732-2b4a-443a-b9e5-c145e54cc66b'],https://ngk.wisski.cloud/contents/67b6418e7b43e
137,['f229c732-2b4a-443a-b9e5-c145e54cc66b'],https://ngk.wisski.cloud/contents/67b6418eb0118
138,['ae046399-588f-4620-90c3-47379798f599'],https://ngk.wisski.cloud/contents/67b6418ee1916
139,['ae046399-588f-4620-90c3-47379798f599'],https://ngk.wisski.cloud/contents/67b6418f23fcf
140,['ae046399-588f-4620-90c3-47379798f599'],https://ngk.wisski.cloud/contents/67b6418f5742a
141,['afbfa550-7a85-4356-b8d8-c7fa6f92e564'],https://ngk.wisski.cloud/contents/67b6418f876eb
142,['afbfa550-7a85-4356-b8d8-c7fa6f92e564'],https://ngk.wisski.cloud/contents/67b6418fbe39d
143,['110ae0f5-17b6-4a33-9f27-25e412d4de0f'],https://ngk.wisski.cloud/contents/67b6419002f71
144,['110ae0f5-17b6-4a33-9f27-25e412d4de0f'],https://ngk.wisski.cloud/contents/67b641903b233
145,['7f31dee2-88cf-4a21-911d-18a8fa94bdb2'],https://ngk.wisski.cloud/contents/67b6419073396
146,['7f31dee2-88cf-4a21-911d-18a8fa94bdb2'],https://ngk.wisski.cloud/contents/67b64190a7922
147,['8e1a2638-5aa7-456e-8100-8157078ab14c'],https://ngk.wisski.cloud/contents/67b64190de25a
148,['8e1a2638-5aa7-456e-8100-8157078ab14c'],https://ngk.wisski.cloud/contents/67b641911ee5d
149,['1a05d1d9-47fa-4ea2-aea9-b85745b253cb'],https://ngk.wisski.cloud/contents/67b6419157778
150,['1a05d1d9-47fa-4ea2-aea9-b85745b253cb'],https://ngk.wisski.cloud/contents/67b641918d236
151,['b25502c0-0efa-4161-9deb-31caed53f95c'],https://ngk.wisski.cloud/contents/67b64191c2cd0
152,['b25502c0-0efa-4161-9deb-31caed53f95c'],https://ngk.wisski.cloud/contents/67b641920940e
153,['df6c9412-b413-431a-900a-55702492d9b9'],https://ngk.wisski.cloud/contents/67b6419243e91
154,['df6c9412-b413-431a-900a-55702492d9b9'],https://ngk.wisski.cloud/contents/67b641927f16b
155,['354619c9-25ac-4009-8098-259a65910837'],https://ngk.wisski.cloud/contents/67b64192ba8ae
156,['354619c9-25ac-4009-8098-259a65910837'],https://ngk.wisski.cloud/contents/67b64192f3eda
157,['a871a595-f96d-4505-8ba3-10636d010837'],https://ngk.wisski.cloud/contents/67b641933b7d7
